id,json,geometrie,gemeinde_name,strasse_name,stat_bezirk_name
30342538-3ef5-11e5-9f9d-0050569b7e95,"{""kreis_schluessel"": ""13003"", ""gemeindeverband_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""uuid"": ""30342538-3ef5-11e5-9f9d-0050569b7e95"", ""gemeindeverband_schluessel"": ""130030000"", ""strasse_name"": ""Alfred-Schulze-Str."", ""strasse_schluessel"": ""00200"", ""gemeinde_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""gemeinde_schluessel"": ""130030000000"", ""kreis_name"": ""Rostock""}","LINESTRING (12.066682 54.095106, 12.066694 54.094972, 12.066770 54.094652, 12.066904 54.094364, 12.067139 54.094025, 12.067232 54.093915, 12.067526 54.093640, 12.067732 54.093484, 12.067961 54.093328, 12.068219 54.093201, 12.068321 54.093190, 12.069392 54.093228)","Rostock, Hanse- und Universitätsstadt",Alfred-Schulze-Str.,Reutershagen IV
303524e2-3ef5-11e5-a020-0050569b7e95,"{""kreis_schluessel"": ""13003"", ""gemeindeverband_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""uuid"": ""303524e2-3ef5-11e5-a020-0050569b7e95"", ""gemeindeverband_schluessel"": ""130030000"", ""strasse_name"": ""Artur-Becker-Str."", ""strasse_schluessel"": ""00900"", ""gemeinde_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""gemeinde_schluessel"": ""130030000000"", ""kreis_name"": ""Rostock""}","LINESTRING (12.071234 54.095298, 12.071428 54.094336, 12.071568 54.093875, 12.071782 54.093353, 12.072093 54.092735)","Rostock, Hanse- und Universitätsstadt",Artur-Becker-Str.,Reutershagen IV
3034026a-3ef5-11e5-9f8a-0050569b7e95,"{""kreis_schluessel"": ""13003"", ""gemeindeverband_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""uuid"": ""3034026a-3ef5-11e5-9f8a-0050569b7e95"", ""gemeindeverband_schluessel"": ""130030000"", ""strasse_name"": ""Aalstecherstr."", ""strasse_schluessel"": ""00090"", ""gemeinde_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""gemeinde_schluessel"": ""130030000000"", ""kreis_name"": ""Rostock""}","LINESTRING (12.131834 54.090996, 12.131903 54.090984, 12.132525 54.090984, 12.132736 54.090946, 12.132959 54.090955)","Rostock, Hanse- und Universitätsstadt",Aalstecherstr.,Stadtmitte I
30352b54-3ef5-11e5-a023-0050569b7e95,"{""kreis_schluessel"": ""13003"", ""gemeindeverband_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""uuid"": ""30352b54-3ef5-11e5-a023-0050569b7e95"", ""gemeindeverband_schluessel"": ""130030000"", ""strasse_name"": ""Auf der Huder"", ""strasse_schluessel"": ""00930"", ""gemeinde_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""gemeinde_schluessel"": ""130030000000"", ""kreis_name"": ""Rostock""}","LINESTRING (12.132959 54.090955, 12.134230 54.091035)","Rostock, Hanse- und Universitätsstadt",Auf der Huder,Stadtmitte I
30351a60-3ef5-11e5-a01a-0050569b7e95,"{""kreis_schluessel"": ""13003"", ""gemeindeverband_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""uuid"": ""30351a60-3ef5-11e5-a01a-0050569b7e95"", ""gemeindeverband_schluessel"": ""130030000"", ""strasse_name"": ""Apostelstr."", ""strasse_schluessel"": ""00770"", ""gemeinde_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""gemeinde_schluessel"": ""130030000000"", ""kreis_name"": ""Rostock""}","LINESTRING (12.131792 54.089363, 12.131758 54.089334, 12.131746 54.088977, 12.131728 54.088943, 12.131739 54.088703, 12.131804 54.088433)","Rostock, Hanse- und Universitätsstadt",Apostelstr.,Stadtmitte V
30349658-3ef5-11e5-9fd6-0050569b7e95,"{""kreis_schluessel"": ""13003"", ""gemeindeverband_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""uuid"": ""30349658-3ef5-11e5-9fd6-0050569b7e95"", ""gemeindeverband_schluessel"": ""130030000"", ""strasse_name"": ""Am Passagierkai"", ""strasse_schluessel"": ""00470"", ""gemeinde_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""gemeinde_schluessel"": ""130030000000"", ""kreis_name"": ""Rostock""}","LINESTRING (12.092608 54.176640, 12.092461 54.176531, 12.092438 54.176472, 12.092445 54.176417, 12.092847 54.175648, 12.092881 54.175534, 12.092965 54.175006, 12.092957 54.174872, 12.092689 54.173104, 12.092640 54.172927, 12.092588 54.172792, 12.092469 54.172570, 12.092355 54.172400, 12.092227 54.172236, 12.092056 54.172062, 12.091638 54.171689, 12.091450 54.171547, 12.090992 54.171267)","Rostock, Hanse- und Universitätsstadt",Am Passagierkai,Seebad Warnemünde II
3034ba34-3ef5-11e5-9fe9-0050569b7e95,"{""kreis_schluessel"": ""13003"", ""gemeindeverband_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""uuid"": ""3034ba34-3ef5-11e5-9fe9-0050569b7e95"", ""gemeindeverband_schluessel"": ""130030000"", ""strasse_name"": ""Am Strom"", ""strasse_schluessel"": ""00540"", ""gemeinde_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""gemeinde_schluessel"": ""130030000000"", ""kreis_name"": ""Rostock""}","MULTILINESTRING ((12.091973 54.172732, 12.091797 54.172820, 12.091067 54.173574, 12.090885 54.173715, 12.090785 54.173782, 12.090062 54.174139, 12.089607 54.174414, 12.089334 54.174606, 12.088923 54.174975, 12.088766 54.175205, 12.088506 54.176263, 12.088334 54.176806), (12.087558 54.179048, 12.087932 54.177973), (12.087424 54.179424, 12.087558 54.179048), (12.087024 54.181881, 12.087029 54.181500, 12.087004 54.180895, 12.087018 54.180650, 12.087076 54.180420, 12.087229 54.180019, 12.087424 54.179424), (12.088195 54.177118, 12.088101 54.177541, 12.087932 54.177973), (12.087027 54.181586, 12.086933 54.181564, 12.086840 54.180933, 12.086825 54.180749, 12.086836 54.180611, 12.086901 54.180409, 12.086950 54.180352, 12.087076 54.180019, 12.087204 54.179623, 12.087421 54.178599, 12.087765 54.177831, 12.087935 54.177499, 12.088195 54.177118, 12.088292 54.176944, 12.088334 54.176806))","Rostock, Hanse- und Universitätsstadt",Am Strom,
30342b96-3ef5-11e5-9fa1-0050569b7e95,"{""kreis_schluessel"": ""13003"", ""gemeindeverband_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""uuid"": ""30342b96-3ef5-11e5-9fa1-0050569b7e95"", ""gemeindeverband_schluessel"": ""130030000"", ""strasse_name"": ""Alte Bahnhofstr."", ""strasse_schluessel"": ""03210"", ""gemeinde_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""gemeinde_schluessel"": ""130030000000"", ""kreis_name"": ""Rostock""}","MULTILINESTRING ((12.090655 54.172813, 12.090465 54.172732, 12.090185 54.172685, 12.089510 54.172387), (12.089510 54.172387, 12.089815 54.171991, 12.089930 54.171867, 12.090010 54.171806, 12.090354 54.171655, 12.090556 54.171606, 12.090692 54.171606, 12.090881 54.171660, 12.091108 54.171777, 12.091517 54.172065, 12.091721 54.172290), (12.087803 54.173605, 12.087621 54.173503, 12.087256 54.173252), (12.088025 54.174230, 12.088254 54.174013, 12.088356 54.173879), (12.088356 54.173879, 12.089510 54.172387), (12.088356 54.173879, 12.088088 54.173806, 12.088012 54.173771, 12.087802 54.173605))","Rostock, Hanse- und Universitätsstadt",Alte Bahnhofstr.,
30344f04-3ef5-11e5-9fad-0050569b7e95,"{""kreis_schluessel"": ""13003"", ""gemeindeverband_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""uuid"": ""30344f04-3ef5-11e5-9fad-0050569b7e95"", ""gemeindeverband_schluessel"": ""130030000"", ""strasse_name"": ""Am Bahnhof"", ""strasse_schluessel"": ""00310"", ""gemeinde_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""gemeinde_schluessel"": ""130030000000"", ""kreis_name"": ""Rostock""}","MULTILINESTRING ((12.092461 54.176531, 12.092392 54.176653, 12.092404 54.176749, 12.092473 54.176822, 12.092756 54.176984, 12.092808 54.177040, 12.092835 54.177112, 12.092829 54.177176, 12.092603 54.177563), (12.089058 54.176942, 12.088334 54.176806), (12.089983 54.177551, 12.089915 54.177622, 12.089863 54.177748, 12.089861 54.177775, 12.089898 54.177796, 12.089982 54.177800, 12.090014 54.177774, 12.089983 54.177551), (12.091721 54.172290, 12.091782 54.172376, 12.092090 54.172934, 12.092240 54.173246, 12.092307 54.173444, 12.092319 54.173523, 12.092306 54.173622, 12.092268 54.173716, 12.092131 54.173914, 12.091290 54.175041, 12.091021 54.175392, 12.090714 54.175741, 12.089968 54.176725, 12.089888 54.176866, 12.089838 54.177080), (12.089838 54.177080, 12.089058 54.176942), (12.089966 54.177094, 12.089838 54.177080), (12.089983 54.177551, 12.089888 54.177143, 12.089838 54.177080), (12.089838 54.177080, 12.089746 54.177159, 12.089623 54.177382, 12.089434 54.177799, 12.089284 54.178173, 12.089195 54.178504, 12.088853 54.179397, 12.088639 54.180068))","Rostock, Hanse- und Universitätsstadt",Am Bahnhof,
30348fb4-3ef5-11e5-9fd2-0050569b7e95,"{""kreis_schluessel"": ""13003"", ""gemeindeverband_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""uuid"": ""30348fb4-3ef5-11e5-9fd2-0050569b7e95"", ""gemeindeverband_schluessel"": ""130030000"", ""strasse_name"": ""Am Leuchtturm"", ""strasse_schluessel"": ""00450"", ""gemeinde_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""gemeinde_schluessel"": ""130030000000"", ""kreis_name"": ""Rostock""}","MULTILINESTRING ((12.086196 54.181600, 12.086134 54.181056, 12.086126 54.180922, 12.086140 54.180779), (12.086140 54.180779, 12.085096 54.180691), (12.086263 54.180381, 12.086213 54.180459, 12.086140 54.180779), (12.086361 54.181743, 12.086354 54.181827, 12.086316 54.181852, 12.086261 54.181864, 12.086147 54.181839, 12.086120 54.181803, 12.086126 54.181752, 12.086196 54.181600), (12.087024 54.181881, 12.086211 54.181706, 12.086196 54.181600))","Rostock, Hanse- und Universitätsstadt",Am Leuchtturm,Seebad Warnemünde I
