id,json,geometrie,gemeinde_name,strasse_name
30342538-3ef5-11e5-9f9d-0050569b7e95,"{""strasse_name"": ""Alfred-Schulze-Str."", ""kreis_name"": ""Rostock"", ""gemeindeverband_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""kreis_schluessel"": ""13003"", ""gemeindeverband_schluessel"": ""130030000"", ""strasse_schluessel"": ""00200"", ""gemeinde_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""gemeinde_schluessel"": ""130030000000"", ""uuid"": ""30342538-3ef5-11e5-9f9d-0050569b7e95""}","LINESTRING (12.066682 54.095106, 12.069392 54.093228)","Rostock, Hanse- und Universitätsstadt",Alfred-Schulze-Str.
303524e2-3ef5-11e5-a020-0050569b7e95,"{""strasse_name"": ""Artur-Becker-Str."", ""kreis_name"": ""Rostock"", ""gemeindeverband_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""kreis_schluessel"": ""13003"", ""gemeindeverband_schluessel"": ""130030000"", ""strasse_schluessel"": ""00900"", ""gemeinde_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""gemeinde_schluessel"": ""130030000000"", ""uuid"": ""303524e2-3ef5-11e5-a020-0050569b7e95""}","LINESTRING (12.071234 54.095298, 12.072093 54.092735)","Rostock, Hanse- und Universitätsstadt",Artur-Becker-Str.
3034026a-3ef5-11e5-9f8a-0050569b7e95,"{""strasse_name"": ""Aalstecherstr."", ""kreis_name"": ""Rostock"", ""gemeindeverband_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""kreis_schluessel"": ""13003"", ""gemeindeverband_schluessel"": ""130030000"", ""strasse_schluessel"": ""00090"", ""gemeinde_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""gemeinde_schluessel"": ""130030000000"", ""uuid"": ""3034026a-3ef5-11e5-9f8a-0050569b7e95""}","LINESTRING (12.131834 54.090996, 12.132959 54.090955)","Rostock, Hanse- und Universitätsstadt",Aalstecherstr.
30352b54-3ef5-11e5-a023-0050569b7e95,"{""strasse_name"": ""Auf der Huder"", ""kreis_name"": ""Rostock"", ""gemeindeverband_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""kreis_schluessel"": ""13003"", ""gemeindeverband_schluessel"": ""130030000"", ""strasse_schluessel"": ""00930"", ""gemeinde_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""gemeinde_schluessel"": ""130030000000"", ""uuid"": ""30352b54-3ef5-11e5-a023-0050569b7e95""}","LINESTRING (12.132959 54.090955, 12.134230 54.091035)","Rostock, Hanse- und Universitätsstadt",Auf der Huder
30351a60-3ef5-11e5-a01a-0050569b7e95,"{""strasse_name"": ""Apostelstr."", ""kreis_name"": ""Rostock"", ""gemeindeverband_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""kreis_schluessel"": ""13003"", ""gemeindeverband_schluessel"": ""130030000"", ""strasse_schluessel"": ""00770"", ""gemeinde_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""gemeinde_schluessel"": ""130030000000"", ""uuid"": ""30351a60-3ef5-11e5-a01a-0050569b7e95""}","LINESTRING (12.131792 54.089363, 12.131804 54.088433)","Rostock, Hanse- und Universitätsstadt",Apostelstr.
30349658-3ef5-11e5-9fd6-0050569b7e95,"{""strasse_name"": ""Am Passagierkai"", ""kreis_name"": ""Rostock"", ""gemeindeverband_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""kreis_schluessel"": ""13003"", ""gemeindeverband_schluessel"": ""130030000"", ""strasse_schluessel"": ""00470"", ""gemeinde_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""gemeinde_schluessel"": ""130030000000"", ""uuid"": ""30349658-3ef5-11e5-9fd6-0050569b7e95""}","LINESTRING (12.092608 54.176640, 12.090992 54.171267)","Rostock, Hanse- und Universitätsstadt",Am Passagierkai
3034ba34-3ef5-11e5-9fe9-0050569b7e95,"{""strasse_name"": ""Am Strom"", ""kreis_name"": ""Rostock"", ""gemeindeverband_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""kreis_schluessel"": ""13003"", ""gemeindeverband_schluessel"": ""130030000"", ""strasse_schluessel"": ""00540"", ""gemeinde_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""gemeinde_schluessel"": ""130030000000"", ""uuid"": ""3034ba34-3ef5-11e5-9fe9-0050569b7e95""}","MULTILINESTRING ((12.091973 54.172732, 12.088334 54.176806), (12.087558 54.179048, 12.087932 54.177973), (12.087424 54.179424, 12.087558 54.179048), (12.087024 54.181881, 12.087424 54.179424), (12.088195 54.177118, 12.087932 54.177973), (12.087027 54.181586, 12.086836 54.180611, 12.087421 54.178599, 12.088334 54.176806))","Rostock, Hanse- und Universitätsstadt",Am Strom
30342b96-3ef5-11e5-9fa1-0050569b7e95,"{""strasse_name"": ""Alte Bahnhofstr."", ""kreis_name"": ""Rostock"", ""gemeindeverband_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""kreis_schluessel"": ""13003"", ""gemeindeverband_schluessel"": ""130030000"", ""strasse_schluessel"": ""03210"", ""gemeinde_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""gemeinde_schluessel"": ""130030000000"", ""uuid"": ""30342b96-3ef5-11e5-9fa1-0050569b7e95""}","MULTILINESTRING ((12.090655 54.172813, 12.089510 54.172387), (12.089510 54.172387, 12.091721 54.172290), (12.087803 54.173605, 12.087256 54.173252), (12.088025 54.174230, 12.088356 54.173879), (12.088356 54.173879, 12.089510 54.172387), (12.088356 54.173879, 12.087802 54.173605))","Rostock, Hanse- und Universitätsstadt",Alte Bahnhofstr.
30344f04-3ef5-11e5-9fad-0050569b7e95,"{""strasse_name"": ""Am Bahnhof"", ""kreis_name"": ""Rostock"", ""gemeindeverband_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""kreis_schluessel"": ""13003"", ""gemeindeverband_schluessel"": ""130030000"", ""strasse_schluessel"": ""00310"", ""gemeinde_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""gemeinde_schluessel"": ""130030000000"", ""uuid"": ""30344f04-3ef5-11e5-9fad-0050569b7e95""}","MULTILINESTRING ((12.092461 54.176531, 12.092603 54.177563), (12.089058 54.176942, 12.088334 54.176806), (12.089983 54.177551, 12.089863 54.177748, 12.089898 54.177796, 12.090014 54.177774, 12.089983 54.177551), (12.091721 54.172290, 12.089838 54.177080), (12.089838 54.177080, 12.089058 54.176942), (12.089966 54.177094, 12.089838 54.177080), (12.089983 54.177551, 12.089838 54.177080), (12.089838 54.177080, 12.088639 54.180068))","Rostock, Hanse- und Universitätsstadt",Am Bahnhof
30348fb4-3ef5-11e5-9fd2-0050569b7e95,"{""strasse_name"": ""Am Leuchtturm"", ""kreis_name"": ""Rostock"", ""gemeindeverband_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""kreis_schluessel"": ""13003"", ""gemeindeverband_schluessel"": ""130030000"", ""strasse_schluessel"": ""00450"", ""gemeinde_name"": ""Rostock, Hanse- und Universit\u00e4tsstadt"", ""gemeinde_schluessel"": ""130030000000"", ""uuid"": ""30348fb4-3ef5-11e5-9fd2-0050569b7e95""}","MULTILINESTRING ((12.086196 54.181600, 12.086140 54.180779), (12.086140 54.180779, 12.085096 54.180691), (12.086263 54.180381, 12.086140 54.180779), (12.086361 54.181743, 12.086196 54.181600), (12.087024 54.181881, 12.086196 54.181600))","Rostock, Hanse- und Universitätsstadt",Am Leuchtturm
